id,value
2017-04-07.手机106,7662
2017-04-07.手机107,1388
2017-04-07.手机100,3490
2017-04-07.手机168,203
2017-04-07.手机153,1978
2017-04-07.手机139,471
2017-04-07.手机138,1684
2017-04-07.手机131,2224
2017-04-07.手机158,1618
2017-04-07.手机189,1305
2017-04-07.手机156,2404
2017-04-07.手机171,948
2017-04-07.手机137,298
2017-04-07.手机186,770
2017-04-07.手机010,3738
2017-04-07.手机132,588
2017-04-07.手机136,1762
2017-04-07.手机173,891
2017-04-07.手机133,1518
2017-04-07.手机188,288
2017-04-07.手机130,3007
2017-04-07.手机177,1312
2017-04-07.手机024,212
2017-04-07.手机180,817
2017-04-07.手机170,593
2017-04-07.手机187,146
2017-04-07.手机150,59
2017-04-07.手机135,992
2017-04-07.手机118,291
2017-04-07.手机356,42
2017-04-07.手机178,5
2017-04-07.手机053,21
2017-04-07.手机236,71
2017-04-07.手机152,11
2017-04-07.手机151,96
2017-04-07.手机155,162
2017-04-07.手机031,20
2017-04-07.手机126,22
2017-04-07.手机406,5
2017-04-07.手机400,5
2017-04-07.手机008,1
2017-04-07.手机165,5
2017-04-07.手机123,8
2017-04-07.手机108,1
2017-04-07.手机111,29
2017-04-07.手机167,1
2017-04-07.手机333,14
2017-04-07.手机917,4
2017-04-07.11位号码,43180
2017-04-07.10位号码,3760
2017-04-07.9位号码,1998
2017-04-07.5位号码,6677
2017-04-07.13位号码,1525
2017-04-07.12位号码,1594
2017-04-07.8位号码,1215
2017-04-07.6位号码,228
2017-04-07.7位号码,448
2017-04-07.14位号码,93
2017-04-07.15位号码,83
2017-04-07.4位号码,47
2017-04-07.17位号码,8
2017-04-07.16位号码,3
